title,condition,url,agency,introduce,kind
데이터 분석과 비즈니스를 위한 기초 통계학_하,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB21+2023_01/about,㈜웅진씽크빅,"통계와 데이터 분석 기법에 근거해 보고할 수 있는 자료를
만들 수 있습니다.

■ 주요 학습 내용/목표
- 데이터 사이언티스트가 되기 위해 수강하는 프로그래밍, 데이터 모델링 과정 등에 필요한 기초지식을 쌓을 수
있습니다.
- 엑셀을 이용해 기본 통계기법을 배우고, 실무에 필요한 데이터 분석을 할 수 있습니다.
- 통계와 데이터 분석 기법에 근거해 보고 자료를 만들 수 있습니다.
- 통계적인 사고를 통해 합리적인 의사결정 역량을 키울 수 있습니다.

■ 강의 대상
- 합리적인 의사결정을 위한 통계적인 기법을 습득하고자 하는 모든 사람
- 데이터 분석을 위한 통계적 지식 습득을 원하는 분들
- 데이터 사이언티스트가 되기 위한 공부를 이제 막 시작하려는 분들
- 경영학, 경제학, 사회학, 심리학 등 거의 모든 공부를 시작하는 분들","
공학

                                (컴퓨터ㆍ통신)
                            "
"나에게 맞는 '직무'찾기 - 인문,상경계열 편",개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB14+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 인문상경계열 취업준비생들을 위한
직무분석

■ 주요 학습 내용/목표
- 각 직무의 업무 내용과 필요 역량을 설명해 직무 설정과 역량 강화 계획 수립에 도움을 줍니다.
- 각 직무별 현직자 인터뷰와 최신 채용 공고를 소개해 실제 기업에서 요구하는 역량을 파악할 수 있게 합니다.
- 나에게 맞는 직무를 찾고, 기업에서 요구하는 직무 역량을 파악해 확신을 가지고 취업 준비를 시작할 수
있습니다.
- 적성에 잘 맞는 직무를 선택해, 취업뿐 아니라 취업 후 장기적으로 성공적인 커리어 관리가 가능합니다.

■ 강의 대상
- 진로 설정 또는 취업 준비를 앞두고 직무 확정에 고민을 겪고 있으신 분
- 다양한 직무에 대한 이해를 통해 나에게 적합한 직무를 찾고 싶으신 분
- 직무의 업무 내용과 필요 역량 파악을 통해 취업 준비의 올바른 방향성을 수립하고 싶으신 분
- 적성에 맞는 직무를 탐색하고, 확신있게 커리어를 시작하고 싶은신 분","
사회과학

                                (사회과학)
                            "
나에게 맞는 '직무'찾기 - 이공계열 편,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB13+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 이공계열 취업 준비생들을 위한
직무 분석

■ 주요 학습 내용
- 각 직무의 업무 내용과 필요 역량을 설명해 직무 설정과 역량 강화 계획 수립에 도움을 줍니다.
- 각 직무별 현직자 인터뷰와 최신 채용 공고를 소개해 실제 기업에서 요구하는 역량을 파악할 수 있게 합니다.
- 나에게 맞는 직무를 찾고, 기업에서 요구하는 직무 역량을 파악해 확신을 가지고 취업 준비를 시작할 수
있습니다.
- 적성에 잘 맞는 직무를 선택해, 취업뿐 아니라 취업 후 장기적으로 성공적인 커리어 관리가 가능합니다.

■ 강의 대상
- 진로 설정 또는 취업 준비를 앞두고 직무 확정에 고민을 겪고 있으신 분
- 다양한 직무에 대한 이해를 통해 나에게 적합한 직무를 찾고 싶으신 분
- 직무의 업무 내용과 필요 역량 파악을 통해 취업 준비의 올바른 방향성을 수립하고 싶으신 분
- 적성에 맞는 직무를 탐색하고, 확신있게 커리어를 시작하고 싶으신 분","
사회과학

                                (사회과학)
                            "
마케팅 데이터 사이언스-파이썬편,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB18+2023_01/about,㈜웅진씽크빅,"데이터 사이언스, 머신러닝, 빅데이터를
이해하고,로지스틱회귀분석 등을 이용한 KPI와 segmentation에 영향을 주는 요소를 분석할 수 있습니다.

■ 주요 학습 내용/목표
- 데이터 사이언스, 머신러닝, 빅데이터 이해
- 로지스틱 회귀분석 등을 이용한 KPI와 segmentation에 영향을 주는 요소 분석
- Random Forest를 이용한 고객 engagement 예측 모델 설계 학습
- 마케팅 분석에 필요한 통계학 개념 학습

■ 강의 대상
- 데이터 사이언스를 이해하여 마케팅 캠페인을 저비용, 고효율로 디자인하고 싶은 사람
- 마케팅 캠페인의 성공과 실패의 원인에 대해 분석하고 싶은 사람
- 머신러닝과 빅데이터를 다룰 수 있는 수학, 통계학 또는 프로그래밍에 대한 지식이 없는 사람
- 머신러닝과 빅데이터를 통해 마케팅 전략 관련 문제를 해결하고 싶은 사람
- 업무를 다루는 다양한 데이터를 어떻게 분석하고 실행하는지 제대로 된 프로그래밍 코드를 배우고 싶은 사람","
공학

                                (컴퓨터ㆍ통신)
                            "
파이썬을 이용한 데이터 분석,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB29+2023_01/about,㈜웅진씽크빅,"데이터 분석을 위한 파이썬, 파이썬 패키지 등을 익힐 수
있습니다.

■ 주요 학습 내용/목표
- 인터넷에 있는 여러 분야의 데이터를 손쉽게 수집하고 정리할 수 있습니다.
- 엑셀에서는 다룰 수 없는 방대한 크기의 데이터를 쉽게 다룰 수 있게 됩니다.
- 데이터 분석을 위한 파이썬, 파이썬 패키지 등을 익힐 수 있습니다.
- 의료, 마케팅, 금융, 행정 등 거의 모든 분야의 데이터 분석에 응용될 수 있는 기본적인 툴을 이해하고 파이썬을
이용해 간편하게 할 수 있습니다.
- 실무에 필요한 데이터 분석 역량을 키울 수 있습니다.

■ 강의 대상
- 파이썬을 통해 데이터 분석을 하고 싶은 분
- 파이썬 기본 과정을 학습한 후, 이를 실생활에 적용하고 싶은 분
- 파이썬을 통한 프로그래밍 직무 스킬을 더 향상하고 싶은 분
- 데이터 분석 분야에 취업/이직을 하고 싶으신 분
- 누구나 쉽게 따라 할 수 있는 파이썬 프로그래밍을 학습한 분","
공학

                                (컴퓨터ㆍ통신)
                            "
파이썬 머신러닝,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB19+2023_01/about,㈜웅진씽크빅,"알고리즘을 파이썬으로 프로그래밍해서 디자인하고,
데이터분석에 이용할 수 있게 됩니다.

■ 주요 학습 내용/목표
- 알고리즘을 파이썬으로 프로그래밍해서 디자인하고, 데이터 분석에 이용할 수 있게 됩니다.
- 머신러닝의 기본 이론을 직관적으로 이해하게 됩니다.
- 어려운 수식을 최소화하여 더욱 쉽게 이해할 수 있습니다.
- 실제 데이터를 파이썬 코드로 구현

■ 강의 대상
- 머신러닝과 빅데이터를 직관적으로 이해하고 싶은 분
- 파이썬을 통해 일상과 비즈니스의 문제를 해결하고 싶은 분","
공학

                                (컴퓨터ㆍ통신)
                            "
R머신러닝,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB17+2023_01/about,㈜웅진씽크빅,"■ 주요 학습 내용/목표
- 미국 현직 데이터사이언티스트 등 글로벌 전문가의 지식과 노하우!
- 파이썬, R, SQL 등 다양한 프로그래밍의 기초부터 심화까지 모든 것을 마스터
- 실생활의 다양한 예제 분석을 통해 실무 경쟁력 향상!

■ 강의 대상
- 머신러닝과 빅데이터를 직관적으로 이해하고 싶은 분
- R을 통해 일상과 비즈니스의 문제를 해결하고 싶은 분","
공학

                                (컴퓨터ㆍ통신)
                            "
최고투자책임자가 알려주는 자산배분 레시피,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB30+2023_01/about,㈜웅진씽크빅,"ETF를 이용해 안정적인 수익을 올리는 All
weather Portfolio를 구성할 수 있습니다.

■ 주요 학습 내용/목표
- 자산배분 포트폴리오를 형성하는데 필요한 이론과 지식을 습득할 수 있습니다.
- 자산의 부를 증진시킬 다양한 자산배분 방법을 배워서 자신에게 잘 맞는 자산배분을 할 수 있습니다.
즉, 부자가 되는 길을 알게 됩니다.
- 자산배분 포트폴리오를 형성하는데 필요한 이론과 지식 습득할 수 있습니다.
- 나만의 자산배분 포트폴리오 구성이 가능합니다.

■ 강의 대상
- 적금, 예금, 적립식 펀드에서 벗어나 더 현명하게 돈을 관리하고 불리고 싶은 사람
- 평생을 위한 자산관리의 기본인 '자산배분'을 좀 더 깊이 있게 이해하고 실행하고 싶은 사람
- 퇴직연금에 가입했지만 연금의 자산배분과 수익률이 만족스럽지 않아 다른 방법을 찾고 싶거나, 직접 운용해보고 싶은
사람
- 투자 위험은 적고 안정적인 수익률을 올리고 싶은 사람","
사회과학

                                (경영ㆍ경제)
                            "
합격을 부르는 면접 스피치,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB16+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 공공기관 취업준비생들을 위한
완벽분석

■ 주요 학습 내용
- 면접을 준비하는 방식을 바꾸어 나의 이야기를 풀어봅니다.
- 나만의 ‘킬러 콘텐츠’를 통해 면접장에서 먹히는 스토리를 만들어봅니다.
- 필수 질문들에 대해 차별화된 답변을 연습해봅니다.
- 자연스러운 면접 에티튜드를 통해 면접에서 합격해봅시다.

■ 강의 대상
- 취직/이직을 위해 면접을 준비하는 모든 분들
- 면접스피치의 핵심을 파악하고 싶으신 모든 분들
- 설득을 위한 커뮤니케이션 할 일이 많은 분들","
사회과학

                                (사회과학)
                            "
취업준비를 위한 산업분석,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB12+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 주요 산업군 분석 및 나에게
알맞은 산업군 설정

■ 주요 학습 내용/목표
- 국내 산업의 종류와 현황에 대한 전반적인 이해를 높여, 진출하고자 하는 산업의 목표를 구체화 할 수 있습니다.
- 국내 산업의 비전 및 일자리 전망, 채용 특징을 파악해, 단기적인 취업 전략은 물론 장기적인 커리어 계획을 수립할 수
있습니다.
- 산업별 주요 기업 현황과 글로벌 경쟁력을 갖춘 알짜기업 탐색방법을 파악해 비전 있는 기업을 찾을 수 있습니다.
- '아는만큼 보인다'는 말처럼, 산업에 대한 이해가 높을 수록 더 좋은 취업의 기회를 알아볼 수 있습니다.

■ 강의 대상
- 취업을 앞두고 어떤 산업으로 진출할 지 막연하신 분
- 국내 산업의 비전 및 일자리 전망, 채용 특징을 파악해 취업을 위한 안목을 키우고 싶으신 분
- 최신 국내 산업의 종류와 규모, 사업 현황, 산업 내 주요 기업 등 취업을 위한 정보를 얻고 싶으신 분
- 글로벌 경쟁력이 갖춘 알짜 기업을 탐색하는 방법을 알고 싶으신 분","
사회과학

                                (사회과학)
                            "
채용 트렌드&준비 전략,개강예정,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB11+2023_01/about,㈜웅진씽크빅,"최신 채용 트렌드 반영! 취업 성공을 위한 트렌드 완벽
분석

■ 주요 학습 내용
- 최신 정보를 통해 채용 트렌드를 실질적으로 파악하고, 취업을 위해 어떤 준비가 필요한지 확신을 가질수있습니다.
- 코로나19로 확산된 '비대면 채용 방식'을 전형 단계별로 파악하고 대비 전략을 수립할 수 있습니다.
- 최근 기업의 '채용방식'의 변화, 그리고 '서류 및 면접 등 전형'의 변화를 파악해 대비 전략을 수립할 수
있습니다.
- '공공기관 채용'의 특징과 변화의 움직임을 파악해 공공기관 취업 준비 방향성을 설정할 수 있습니다.

■ 강의 대상
- 본격 취준에 앞서 어떤 준비가 필요한지, 채용 트렌드가 궁금하신 분
- 최근 비대면 채용 방식이 어떻게 진행되고 있는지 현황과 준비 전략이 궁금하신 분
- 최근 기업의 채용 방식과 평가 전형의 트렌드를 알고 싶으신 분
- 최근 공공기관 채용 트렌드의 변화를 파악하고 싶으신 분","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 SDGs 알아보기,개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA5+2023_1/about,한국국제협력단,"▶ 학습목표
1. SDGs(지속가능 발전목표)의 개념을 이해하고, 이론적 토대를 마련한다.
2. SDG 1~17의 각 목표-세부목표-지표를 알고 그 내용을 설명할 수 있다.
3. 목표별 비판적인 시각을 갖고 개선 방안을 탐구할 수 있다.","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 프로젝트 사업관리,개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA03+2023_1/about,한국국제협력단,"▶ 학습목표
1. KOICA 프로젝트 사업관리에 대한 개념을 이해하고, 이론적 토대를 마련한다.
2. 프로젝트를 기획, 조달, 집행, 관리까지 프로젝트 진행과정에 대한 전체적인 흐름을 파악할 수 있다.
3. 국제개발협력 사업에서 평가의 개념과 목적을 이해하고 평가를 설계할 수 있는 역량을 강화할 수 있다.","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 국제개발협력 분야별 이슈,개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA04+2023_1/about,한국국제협력단,"▶ 학습목표
1. KOICA의 국제개발협력 협력에 대한 이론을 바탕으로KOICA의국별협력사업의분야별ODA지원현황을파악할수있다.
2. 교육, 보건, 농림수산, 공공행정 및 기술환경 에너지분야 국제개발협력의 중요성을 알고, 국제 동향 및
세계교육현황을설명할 수 있다.","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 국제개발협력 첫걸음,개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA01+2023_1/about,한국국제협력단,"▶ 강좌개요
한국국제협력단(KOICA)은 우리 국민의 국제개발협력에 대한 이해증진과 교육접근성 제고를
목적으로'KOICA와함께하는국제개발협력 첫걸음' 강좌를 개설하였습니다.

본 강좌는 총 7주차로 구성되어 있습니다.
1~6주차에는 국제개발협력과 ODA(공적개발원조, Official DevelopmentAssistance),국제개발협력의
역사, 최근동향과 이슈 그리고 개발협력의 다양한 주체 등 국제개발협력에 대한 전반적인내용은 물론, 한국과국제개발협력,
KOICA의역할 등에 대해 다루고 있으며, 마지막 7주차에는 국제개발협력분야진로탐색이라는 주제로구체사례를
알아봅니다.

▶ 학습목표
1. 국제개발협력과 관련된 기본적인 개념을 이해하고 이론적 토대를 마련한다.
2. 국제개발협력의 거시적 담론과 패러다임의 변화 및 지속가능개발목표(SDGs) 등 최근 이슈를 습득한다.
3. 국제개발협력의 다양한 주체와 한국의 개발협력 정책 및 전략에 대한 이해를 제고한다.
4. KOICA와 KOICA 사업을 이해하고 국제개발협력 진로를 살펴본다.","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 세계시민교육(일반인),개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA06+2023_1/about,한국국제협력단,"1. 세계시민의 이론적 토대를마련하고, 세계화와
세계시민성의 개념을 이해할 수 있다.
2. 세계시민교육에 대한 개념을 이해하고, 세계시민성과의 관계에 대해 설명할 수 있다.
3. 세계시민, 분쟁과 갈등해결, 평화에 대한 다양한 시각을 이해할 수 있다.","
사회과학

                                (사회과학)
                            "
KOICA와 함께하는 국제개발협력: 범분야의 이해,개강예정,http://www.kmooc.kr/courses/course-v1:KOICA+KOICA02+2023_1/about,한국국제협력단,"▶ 강좌개요
한국국제협력단(KOICA)은‘국제개발협력의첫걸음’강좌에이어,지속가능발전목표(SDGs)시대에그중요성이강조되고있는△빈곤,△환경,△젠더,△인권등범분야이슈에대한최신논의동향및실제사례분석을담은‘KOICA와함께하는국제개발협력:범분야의이해’강좌를개설하였습니다.

본강좌는총10주차로구성되어있습니다.1주차에는국제개발협력분야에서의범분야에대한전반적인내용,2주차~10주차에서는범분야이슈별내용학습을통해전반적인내용및그중요성에대해알아보는시간을갖으며,각분야별구체적인
사례를알아봅니다.

▶ 학습목표
1. 국제개발협력 범분야 이슈인 빈곤, 환경, 젠더, 인권에 대한 개념을 이해하고, 이론적 토대를 마련한다.
2. 범분야 이슈에 대한 최근 이슈를 습득을 통해 논의 동향 및 쟁점을 파악할 수 있다.
3. 범분야 이슈에 대한 여러 사례 분석을 바탕으로 국제사회에서 국제개발협력 수행역량을 강화할 수 있다.","
사회과학

                                (사회과학)
                            "
비유와 우화로 보는 철학 산책,진행중,http://www.kmooc.kr/courses/course-v1:ChungbukK+Chungbuk_11+2022_02/about,충북대학교,"
철학자가 건네는 비유와 우화는 그의 철학을 가장 쉽게 이해하는 지름길입니다. 그 속에서 복잡한 사상이 핵심적으로
말해집니다. 정곡(正鵠)을 찌른다고 할 때의 과녁 한가운데에 바로 은유(metaphor)가 자리하고 있습니다. 서양에서는
오캄의 ‘면도날’, 스미스의 ‘보이지 않는 손’, 흄의 ‘당구공’, 비트겐슈타인의 ‘사다리’ 등이, 동양에서는 공자의
‘양을 훔친 아버지’, 양주와 묵자의 ‘털’, 노자의 ‘물’, 장자의 ‘너무 커서 쓸데없는 바가지’ 등이 소개되었습니다.
철학을 우습게 여겨야 비로소 철학을 할 수 있습니다. 산책하듯 함께 걸어봅시다.
","
인문

                                (인문과학)
                            "
생명의 파노라마,진행중,http://www.kmooc.kr/courses/course-v1:ChungbukK+Chungbuk_12+2022_02/about,충북대학교,"미생물에서 인간, 생명현상에서 질병에 이르기까지!
다양한 생명체와 생명현상을 토론하며 생명과학의 미래를 한 걸음씩 알아가 봅시다.
","
자연과학

                                (생물ㆍ화학ㆍ환경)
                            "
