title,condition,url,kind,img_url
"의생명과학기술과 법, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW19002K+2023_S12/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW19002K+2023_S12+type@asset+block@KakaoTalk_20220830_160401059_08.png
"기업명성과 커뮤니케이션, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW19001K+2023_S10/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW19001K+2023_S10+type@asset+block@KakaoTalk_20220830_160401059_19.png
"R 프로그래밍의 기초, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22002M+2023_S14/about,교육,http://www.kmooc.kr/asset-v1:EwhaK+EW22002M+2023_S14+type@asset+block@R프로.png
"한국문화 깊이 읽기, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW21003K+2023_S19/about,인문,http://www.kmooc.kr/asset-v1:EwhaK+EW21003K+2023_S19+type@asset+block@한국문화.png
"생물다양성과 생물자원, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW21002K+2023_S18/about,자연,http://www.kmooc.kr/asset-v1:EwhaK+EW21002K+2023_S18+type@asset+block@생물.png
"빅데이터의 세계, 원리와 응용, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW11237K+2023_S03/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW11237K+2023_S03+type@asset+block@KakaoTalk_20220830_160401059.png
"동물의 행동, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW10930K+2023_S11/about,자연,http://www.kmooc.kr/asset-v1:EwhaK+EW10930K+2023_S11+type@asset+block@KakaoTalk_20220830_160401059_20.png
"디지털 마케팅과 소셜 미디어 브랜드 콘텐츠 전략, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22001K+2023_S25/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW22001K+2023_S25+type@asset+block@이화여대_디지털-마케팅과-소셜-미디어-브랜드-콘텐츠-전략_썸네일.jpg
"어원으로 문화읽기, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW18003C+2023_S09/about,인문,http://www.kmooc.kr/asset-v1:EwhaK+EW18003C+2023_S09+type@asset+block@KakaoTalk_20220830_160401059_05.png
"영미문화 속 여성이야기, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22002K+2023_S26/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW22002K+2023_S26+type@asset+block@이화여대_영미문화_속_여성이야기_썸네일.jpg
"아동의 신비한 언어습득력: 이중언어 아동, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW17002K+2023_S06/about,인문,http://www.kmooc.kr/asset-v1:EwhaK+EW17002K+2023_S06+type@asset+block@KakaoTalk_20220830_160401059_03.png
"애니메이션의 이해, 예체능",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW11240K+2023_S04/about,예체능,http://www.kmooc.kr/asset-v1:EwhaK+EW11240K+2023_S04+type@asset+block@KakaoTalk_20220830_160401059_04.png
"여행과 지리, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW20005K+2023_S24/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW20005K+2023_S24+type@asset+block@여행.png
"포스트휴먼 인문학, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+CORE_EW17002C+2023_S08/about,인문,http://www.kmooc.kr/asset-v1:EwhaK+CORE_EW17002C+2023_S08+type@asset+block@KakaoTalk_20220830_160401059_11.png
"판소리 명인ㆍ명창, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA001+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA001+2022_01+type@asset+block@1판소리명인명창.jpg
"한국의 근대 문법가들, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA003+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA003+2022_01+type@asset+block@3한국의근대문법가들.jpg
"한국 근현대문학 작가 열전(列傳), 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA005+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA005+2022_01+type@asset+block@5한국근현대문학작가열전.jpg
"한국의 문자 발명가와 표기의 역사, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA010+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA010+2022_01+type@asset+block@10한국의문자발명가.jpg
"조선의 문장가 열전, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA002+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA002+2022_01+type@asset+block@2조선의문장가열전.jpg
"한국 여배우 열전, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA006+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA006+2022_01+type@asset+block@6한국여배우열전.jpg
"조선의 서화가, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA004+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA004+2022_01+type@asset+block@4조선의서화가.jpg
"영화로 한시 읽기 : 시인과 이미지, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA008+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA008+2022_01+type@asset+block@8영화로한시읽기.jpg
"한국의 현대 페미니즘 여성 시인들, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:KAEP_KOREA+KKOREA007+2022_01/about,인문,http://www.kmooc.kr/asset-v1:KAEP_KOREA+KKOREA007+2022_01+type@asset+block@7한국현대페미니즘여성시인들.jpg
"Poverty, Inequality & Development Cooperation, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW21001K+2023_S20/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW21001K+2023_S20+type@asset+block@PIDC.png
"환경과 어린이 건강의 이해, 의료",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW21004K+2023_S21/about,의료,http://www.kmooc.kr/asset-v1:EwhaK+EW21004K+2023_S21+type@asset+block@환경.png
"미래교육의 이해, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22001M+2023_S13/about,교육,http://www.kmooc.kr/asset-v1:EwhaK+EW22001M+2023_S13+type@asset+block@미래교육.png
"인공지능과 기계학습, 원리와 응용, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW21005K+2023_S17/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW21005K+2023_S17+type@asset+block@인공지능.png
"비정형 데이터 분석: 소셜 네트워크의 이해 및 분석, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:EwhaK+EW22003K+2023_S27/about,사회,http://www.kmooc.kr/asset-v1:EwhaK+EW22003K+2023_S27+type@asset+block@이화여대_비정형-데이터_소셜-네트워크의-이해와-분석_썸네일.jpg
"남북협력개론, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:KGU+KGUpo01+2023_T1/about,사회,http://www.kmooc.kr/asset-v1:KGU+KGUpo01+2023_T1+type@asset+block@제목없음_1.jpg
"남북협력개론2, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:KGU+KGUpo02+2023_T1/about,사회,http://www.kmooc.kr/asset-v1:KGU+KGUpo02+2023_T1+type@asset+block@경기대_남북협력개론2_시안01_B__8_.jpg
"Earth System, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+ES_C01+2023_KM_018/about,자연,http://www.kmooc.kr/asset-v1:PNUk+ES_C01+2023_KM_018+type@asset+block@earth_system.jpg
"공정사회로 가는 계약법, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+LC_C01+2023_KM_015/about,사회,http://www.kmooc.kr/asset-v1:PNUk+LC_C01+2023_KM_015+type@asset+block@공정사회로_가는_계약법.jpg
"기후변화와 지속가능발전, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+CS_C01+2023_KM_009/about,자연,http://www.kmooc.kr/asset-v1:PNUk+CS_C01+2023_KM_009+type@asset+block@기후변화와-지속가능발전.jpg
"재미있는 글로벌 경제 기행, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+GE_C01+2023_KM_002/about,사회,http://www.kmooc.kr/asset-v1:PNUk+GE_C01+2023_KM_002+type@asset+block@재미있는-글로벌.jpg
"영재교육과 창의성 계발, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+TC_C01+2023_KM_003/about,교육,http://www.kmooc.kr/asset-v1:PNUk+TC_C01+2023_KM_003+type@asset+block@영재교육과-창의성.jpg
"한시공감, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+PE_C01+2023_KM_010/about,인문,http://www.kmooc.kr/asset-v1:PNUk+PE_C01+2023_KM_010+type@asset+block@한시공감.jpg
"국제사회란 무엇인가, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+GS_C01+2023_KM_004/about,사회,http://www.kmooc.kr/asset-v1:PNUk+GS_C01+2023_KM_004+type@asset+block@국제사회란-무엇인가.jpg
"근현대 중국의지식인들 인간을 묻다, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+IC_C01+2023_KM_013/about,인문,http://www.kmooc.kr/asset-v1:PNUk+IC_C01+2023_KM_013+type@asset+block@근현대-중국의-지식인들.jpg
"딥러닝을 위한 선형대수학, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+LD_C01+2023_KM_011/about,자연,http://www.kmooc.kr/asset-v1:PNUk+LD_C01+2023_KM_011+type@asset+block@딥러닝.jpg
"도시와 환경디자인, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+CE_C01+2023_KM_007/about,공학,http://www.kmooc.kr/asset-v1:PNUk+CE_C01+2023_KM_007+type@asset+block@도시와-환경디자인.jpg
"4차산업에서 재료와 표준, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+MS_C01+2023_KM_012/about,공학,http://www.kmooc.kr/asset-v1:PNUk+MS_C01+2023_KM_012+type@asset+block@4차산업에서_재료와_표준.jpg
"4차 산업혁명, 사회",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+FR_C01+2023_KM_006/about,사회,http://www.kmooc.kr/asset-v1:PNUk+FR_C01+2023_KM_006+type@asset+block@4차_산업혁명.jpg
"생명의 프린키피아, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+PL_C01+2023_KM_001/about,자연,http://www.kmooc.kr/asset-v1:PNUk+PL_C01+2023_KM_001+type@asset+block@생명의-프린키피아.jpg
"언어, 세상의 지문, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+LW_C01+2023_KM_005/about,인문,http://www.kmooc.kr/asset-v1:PNUk+LW_C01+2023_KM_005+type@asset+block@언어_-세상의-지문.jpg
"응용유체역학, 자연",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+AF_C01+2023_KM_008/about,자연,http://www.kmooc.kr/asset-v1:PNUk+AF_C01+2023_KM_008+type@asset+block@응용유체역학.jpg
"의료AI를 위한 머신러닝, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+MM_C01+2023_KM_019/about,공학,http://www.kmooc.kr/asset-v1:PNUk+MM_C01+2023_KM_019+type@asset+block@의료-ai.jpg
"건강생활 지침서: 비만에 대한 모든 것 1, 의료",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+MO_C01+2023_KM_016/about,의료,http://www.kmooc.kr/asset-v1:PNUk+MO_C01+2023_KM_016+type@asset+block@비만-01.jpg
"건강생활 지침서: 비만에 대한 모든 것 2, 의료",개강예정,http://www.kmooc.kr/courses/course-v1:PNUk+MY_C01+2023_KM_017/about,의료,http://www.kmooc.kr/asset-v1:PNUk+MY_C01+2023_KM_017+type@asset+block@비만-02.jpg
"경찰활동에서의 빅데이터 분석, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:PCUk+pcuk_sw001+2023_T1/about,공학,http://www.kmooc.kr/asset-v1:PCUk+pcuk_sw001+2023_T1+type@asset+block@11111.jpg
"이슬람 문명의 역사와 문화기행, 인문",개강예정,http://www.kmooc.kr/courses/course-v1:MJU+MJU_202112_2+MJU_2023_01/about,인문,http://www.kmooc.kr/asset-v1:MJU+MJU_202112_2+MJU_2023_01+type@asset+block@ss2.jpg
"항만물류와 4차 산업혁명Ⅱ, 공학",개강예정,http://www.kmooc.kr/courses/course-v1:YGPA+YGPA02+2022_YGPA02_01/about,공학,http://www.kmooc.kr/asset-v1:YGPA+YGPA02+2022_YGPA02_01+type@asset+block@표지_최종.JPG
"한국어표현교육론, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:KHUk+KH702+2022_T2_1/about,교육,http://www.kmooc.kr/asset-v1:KHUk+KH702+2022_T2_1+type@asset+block@썸네일.png
"한국어이해교육론, 교육",개강예정,http://www.kmooc.kr/courses/course-v1:KHUk+KH701+2022_T2_1/about,교육,http://www.kmooc.kr/asset-v1:KHUk+KH701+2022_T2_1+type@asset+block@썸네일.png
"불확실성을 다루는 수학, 자연",진행중,http://www.kmooc.kr/courses/course-v1:SNUk+SNU071.022k+2022_T3/about,자연,http://www.kmooc.kr/asset-v1:SNUk+SNU071.022k+2022_T3+type@asset+block@불확실성을_다루는_수학_35dpi_1.png
"정서와 행동의 심리학, 사회",진행중,http://www.kmooc.kr/courses/course-v1:SNUk+SNU072.022k+2022_T3/about,사회,http://www.kmooc.kr/asset-v1:SNUk+SNU072.022k+2022_T3+type@asset+block@정서와_행동의_심리학_35dpi_1.png
"서울대 소장품 감상하기: 자연을 중심으로, 자연",진행중,http://www.kmooc.kr/courses/course-v1:SNUk+SNU073.022k+2022_T3/about,자연,http://www.kmooc.kr/asset-v1:SNUk+SNU073.022k+2022_T3+type@asset+block@소장품_감상하기_자연을_중심으로_35dpi_1.png
"서울대 소장품 감상하기: 천문학을 중심으로, 자연",진행중,http://www.kmooc.kr/courses/course-v1:SNUk+SNU074.022k+2022_T3/about,자연,http://www.kmooc.kr/asset-v1:SNUk+SNU074.022k+2022_T3+type@asset+block@소장품_감상하기_천문학을_중심으로_35dpi_1.png
"위대한 수업2(GREAT MINDS) : 한일근대사, 인문",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS022+2022_T1/about,인문,http://www.kmooc.kr/asset-v1:EBS+EBS022+2022_T1+type@asset+block@알렉시스_더든_수정.JPG
"정조의 꿈을 그리다, 사회",진행중,http://www.kmooc.kr/courses/course-v1:USW+USW08+2022_T1/about,사회,http://www.kmooc.kr/asset-v1:USW+USW08+2022_T1+type@asset+block@main4.jpg
"LabVIEW, 공학",진행중,http://www.kmooc.kr/courses/course-v1:KPU+TU_01+2022_T2/about,공학,http://www.kmooc.kr/asset-v1:KPU+TU_01+2022_T2+type@asset+block@LabVIEW.png
"돈 버는 재무관리, 사회",진행중,http://www.kmooc.kr/courses/course-v1:KPU+TU_03+2022_T2/about,사회,http://www.kmooc.kr/asset-v1:KPU+TU_03+2022_T2+type@asset+block@돈버는_재무관리.png
"기하광학, 자연",진행중,http://www.kmooc.kr/courses/course-v1:KPU+TU_02+2022_T2/about,자연,http://www.kmooc.kr/asset-v1:KPU+TU_02+2022_T2+type@asset+block@기하광학__1_.png
"초심자를 위한 유기화학, 자연",진행중,http://www.kmooc.kr/courses/course-v1:KPU+TU_04+2022_T2/about,자연,http://www.kmooc.kr/asset-v1:KPU+TU_04+2022_T2+type@asset+block@초심자를_위한_유기화학.jpg
"미래를 위한 교수법 ③ : 메타버스를 활용한 교육설계 , 교육",진행중,http://www.kmooc.kr/courses/course-v1:DKUK+MOOC_DKUK0031+2022_T2/about,교육,http://www.kmooc.kr/asset-v1:DKUK+MOOC_DKUK0031+2022_T2+type@asset+block@_썸네일__미래교수법3__2___1_.png
"바다 위의 삶, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KMOU+KMOU0003+2022_T2_1/about,인문,http://www.kmooc.kr/asset-v1:KMOU+KMOU0003+2022_T2_1+type@asset+block@최.png
"해상운송론, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KMOU+KMOU0004+2022_T2_1/about,인문,http://www.kmooc.kr/asset-v1:KMOU+KMOU0004+2022_T2_1+type@asset+block@KakaoTalk_20230126_163430035_01.png
"의료 인공지능 개론 , 의료",진행중,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI004+2023_D_001/about,의료,http://www.kmooc.kr/asset-v1:KOHI+KOHI004+2023_D_001+type@asset+block@메인.jpg
"소비자 건강정보 도구와 모바일헬스 , 의료",진행중,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI006+2023_F_001/about,의료,http://www.kmooc.kr/asset-v1:KOHI+KOHI006+2023_F_001+type@asset+block@캡처.JPG
"보건의료데이터 활용 이해 , 의료",진행중,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI005+2023_E_001/about,의료,http://www.kmooc.kr/asset-v1:KOHI+KOHI005+2023_E_001+type@asset+block@메인.jpg
"임상정보학, 의료",진행중,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI007+2023_G_001/about,의료,http://www.kmooc.kr/asset-v1:KOHI+KOHI007+2023_G_001+type@asset+block@썸네일2_web.jpg
"정보의학개론, 의료",진행중,http://www.kmooc.kr/courses/course-v1:KOHI+KOHI003+2023_C_001/about,의료,http://www.kmooc.kr/asset-v1:KOHI+KOHI003+2023_C_001+type@asset+block@정보의학개론_강의카드_크기축소_.png
"탄소중립 실현을 위한 히트펌프 입문, 공학",진행중,http://www.kmooc.kr/courses/course-v1:UOSk+UOS14+2022_T2/about,공학,http://www.kmooc.kr/asset-v1:UOSk+UOS14+2022_T2+type@asset+block@썸네일.jpg
"재무설계와 금융투자의 ABC, 사회",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU08+2022_T2/about,사회,http://www.kmooc.kr/asset-v1:DongdukK+DDU08+2022_T2+type@asset+block@k-mooc_금융_1.jpg
"소프트파워로서의 BTS: 팬덤, 문화, 관광, 인문",진행중,http://www.kmooc.kr/courses/course-v1:AYUk+AYUk_SP+2023_T1/about,인문,http://www.kmooc.kr/asset-v1:AYUk+AYUk_SP+2023_T1+type@asset+block@안양대_썸네일.jpg
"파이썬과 데이터마이닝, 공학",진행중,http://www.kmooc.kr/courses/course-v1:KHUk+SW_KH004+2022_T2_1/about,공학,http://www.kmooc.kr/asset-v1:KHUk+SW_KH004+2022_T2_1+type@asset+block@22_경희대_파이썬과데이터마이닝_허림__썸네일_1.jpg
"인공지능을 위한 기계학습 입문, 공학",진행중,http://www.kmooc.kr/courses/course-v1:KHUk+SW_KH005+2022_T2_1/about,공학,http://www.kmooc.kr/asset-v1:KHUk+SW_KH005+2022_T2_1+type@asset+block@22_경희대_인공지능을위한기계학습입문_이원희__썸네일_1.jpg
"서울 거버넌스 2020, 사회",진행중,http://www.kmooc.kr/courses/course-v1:UOSk+UOS15+2022_T2/about,사회,http://www.kmooc.kr/asset-v1:UOSk+UOS15+2022_T2+type@asset+block@서울거버넌스썸네일.jpg
"알기 쉬운 가족법 – 태어날 때, 사랑할 때, 이 세상을 떠날 때 적용되는 법, 사회",진행중,http://www.kmooc.kr/courses/course-v1:UOSk+UOS16+2022_T2/about,사회,http://www.kmooc.kr/asset-v1:UOSk+UOS16+2022_T2+type@asset+block@알기쉬운가족법썸네일.jpg
"위대한 수업2(GREAT MINDS) : 다문화 사회가 왔다, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS021+2022_T1/about,사회,http://www.kmooc.kr/asset-v1:EBS+EBS021+2022_T1+type@asset+block@윌_킴리카_사진.JPG
"해양과 문화, 인문",진행중,http://www.kmooc.kr/courses/course-v1:KMOU+KMOU002+2023_T1_1/about,인문,http://www.kmooc.kr/asset-v1:KMOU+KMOU002+2023_T1_1+type@asset+block@강좌카드_이미지.png
"데이터베이스의 이해와 활용, 공학",진행중,http://www.kmooc.kr/courses/course-v1:DKUK+MOOC_DKUK0032+2022_T2/about,공학,http://www.kmooc.kr/asset-v1:DKUK+MOOC_DKUK0032+2022_T2+type@asset+block@_썸네일__데이터베이스__small_.png
"지역 스포츠산업의 이해와 실제(Understand and Practicing Local Sports Industry), 예체능",진행중,http://www.kmooc.kr/courses/course-v1:ChosunK+Chosun18K+2022_T1/about,예체능,http://www.kmooc.kr/asset-v1:ChosunK+Chosun18K+2022_T1+type@asset+block@_크기변환_썸네일.jpg
"발달지연 청소년의 참 세상살이를 위한 의사소통(5), 교육",진행중,http://www.kmooc.kr/courses/course-v1:DGUk+DGU_025k+DGU_025k_2022/about,교육,http://www.kmooc.kr/asset-v1:DGUk+DGU_025k+DGU_025k_2022+type@asset+block@K-MOOC-발달지연5.jpg
"K-POP을 통해 배우는 STREET DANCE 기초 3, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:UKP+UKP003+2022_T2/about,예체능,http://www.kmooc.kr/asset-v1:UKP+UKP003+2022_T2+type@asset+block@차호찬_교수님_썸네일.jpg
"혁신의 기술 ③ : 대체불가능한 미래, NFT의 실체, 공학",진행중,http://www.kmooc.kr/courses/course-v1:DKUK+MOOC_DKUK0030+2022_T2/about,공학,http://www.kmooc.kr/asset-v1:DKUK+MOOC_DKUK0030+2022_T2+type@asset+block@_썸네일__혁신의기술3_small.png
"K-POP을 통해 배우는 STREET DANCE 기초 2, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:UKP+UKP002+2022_T2/about,예체능,http://www.kmooc.kr/asset-v1:UKP+UKP002+2022_T2+type@asset+block@김현문_교수님_썸네일.jpg
"투자론(R과 Excel을 통한 금융데이터 분석), 사회",진행중,http://www.kmooc.kr/courses/course-v1:CNUk+MOE_CNU16+2022_2_16/about,사회,http://www.kmooc.kr/asset-v1:CNUk+MOE_CNU16+2022_2_16+type@asset+block@투자론_썸네일.jpg
"공공기관 NCS블라인드 채용, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB15+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB15+2023_01+type@asset+block@652400_공공기관__NCS_블라인드_채용의_이해_1.jpg
"R을 이용한 금융데이터 분석, 공학",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB28+2023_01/about,공학,http://www.kmooc.kr/asset-v1:WJTB+WJTB28+2023_01+type@asset+block@652400_R을_이용한_금융데이터_분석_1.jpg
"R을 이용한 데이터 분석, 공학",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB27+2023_01/about,공학,http://www.kmooc.kr/asset-v1:WJTB+WJTB27+2023_01+type@asset+block@652400_R을_이용한_데이터_분석_1.jpg
"금융전문가에게 배우는 부자되는 가장 확실한 방법, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB23+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB23+2023_01+type@asset+block@652400_Everyday_Finance_1.jpg
"투자를 위한 거시경제, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB22+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB22+2023_01+type@asset+block@652400_투자를_위한_거시경제.jpg
"금융전문가에게 배우는 글로벌 경제분석과 주식 투자 전략, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB24+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB24+2023_01+type@asset+block@652400_Reading_Global_Economy_1.jpg
"중간관리자가 꼭 알아야하는 머신러닝과 빅데이터 기법, 공학",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB31+2023_01/about,공학,http://www.kmooc.kr/asset-v1:WJTB+WJTB31+2023_01+type@asset+block@652400_중간관리자가_꼭_알아야하는_머신러닝과_빅데이터_기법_1.jpg
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_하, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB26+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB26+2023_01+type@asset+block@652400_Essential_Investment_하_1.jpg
"금융전문가에게 배우는 주식과 채권, 펀드를 이해하고 투자하기_상, 사회",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB25+2023_01/about,사회,http://www.kmooc.kr/asset-v1:WJTB+WJTB25+2023_01+type@asset+block@652400_Essential_Investment_상_1.jpg
"데이터 분석과 비즈니스를 위한 기초 통계학_상, 공학",진행중,http://www.kmooc.kr/courses/course-v1:WJTB+WJTB20+2023_01/about,공학,http://www.kmooc.kr/asset-v1:WJTB+WJTB20+2023_01+type@asset+block@652400_데이터_분석과_비즈니스를_위한_기초_통계학_상_1.jpg
